id,is_humor,humor_rating,humor_mechanism,humor_target
tweet30001,1,1.8930855,embarrassment,
tweet30002,1,2.0754492,reference,
tweet30003,0,1.9128498,,
tweet30004,0,1.808837,wordplay,
tweet30005,0,1.91264,,professions
tweet30006,1,2.0111575,wordplay,
tweet30007,0,1.9994315,,
tweet30008,0,1.7328088,wordplay,
tweet30009,0,2.233412,stereotype,
tweet30010,0,2.2100449,wordplay,
tweet30011,0,2.0494199,analogy,
tweet30012,0,1.8566712,reference,
tweet30013,0,1.9294136,,
tweet30014,0,2.0399504,,
tweet30015,1,1.9417787,absurd,
tweet30016,0,1.8471487,wordplay,
tweet30017,1,2.2246518,stereotype,
tweet30018,0,1.9628339,wordplay,
tweet30019,1,2.0196767,misunderstanding,substance use
tweet30020,0,1.8991838,wordplay,
tweet30021,1,1.7672157,irony,
tweet30022,1,2.0552752,parody,
tweet30023,0,1.8322668,,
tweet30024,1,2.049688,parody,
tweet30025,1,1.9014093,stereotype,
tweet30026,1,2.0776384,unmasking,body shaming
tweet30027,0,1.7311496,,
tweet30028,1,1.9525678,misunderstanding,
tweet30029,0,1.9002067,,
tweet30030,0,1.74701,,
tweet30031,1,2.0872116,wordplay,professions
tweet30032,0,2.0694401,,
tweet30033,0,2.1996765,,
tweet30034,1,1.8722755,embarrassment,body shaming
tweet30035,1,2.1368694,,self-deprecating
tweet30036,0,1.9574231,reference,
tweet30037,0,2.1000671,misunderstanding,
tweet30038,0,2.0471401,unmasking,
tweet30039,1,2.049129,unmasking,professions
tweet30040,0,1.7495241,,
tweet30041,0,1.4275813,,
tweet30042,0,1.9830604,,
tweet30043,1,2.2145162,misunderstanding,
tweet30044,0,1.7558771,,
tweet30045,0,1.6496704,,
tweet30046,0,1.9313726,stereotype,
tweet30047,1,2.1873097,wordplay,
tweet30048,1,1.9813116,wordplay,family/relationships
tweet30049,0,1.9104807,,
tweet30050,1,1.565439,parody,
tweet30051,1,2.032659,wordplay,
tweet30052,0,1.8654203,analogy,
tweet30053,1,1.8799906,exaggeration,
tweet30054,1,2.087048,unmasking,professions
tweet30055,0,1.8416555,analogy,
tweet30056,0,1.8911947,,
tweet30057,1,1.8702532,irony,
tweet30058,1,2.1353667,wordplay,women
tweet30059,1,2.1662261,analogy,
tweet30060,0,1.8565526,,
tweet30061,0,1.9551691,,
tweet30062,1,1.915616,analogy,family/relationships
tweet30063,1,1.4540159,embarrassment,
tweet30064,1,1.9474928,misunderstanding,body shaming
tweet30065,0,1.9454947,,
tweet30066,0,2.0429833,,religion
tweet30067,0,1.7341133,parody,
tweet30068,0,1.9291383,,
tweet30069,0,1.9975222,reference,
tweet30070,0,1.814453,,
tweet30071,0,2.3010821,absurd,
tweet30072,1,1.9998978,misunderstanding,family/relationships
tweet30073,0,1.8712294,irony,
tweet30074,0,1.7522866,wordplay,
tweet30075,1,2.0780597,absurd,
tweet30076,0,1.8675294,absurd,
tweet30077,1,1.9314685,parody,men
tweet30078,0,1.9106765,,
tweet30079,1,2.072361,misunderstanding,
tweet30080,0,1.8149561,,
tweet30081,1,2.1683824,unmasking,
tweet30082,0,1.9892209,,
tweet30083,0,1.6913292,,
tweet30084,0,1.7752907,parody,men
tweet30085,0,1.8030771,absurd,
tweet30086,1,2.0658703,,
tweet30087,0,1.9611341,,
tweet30088,0,1.9552627,,
tweet30089,1,2.173962,absurd,
tweet30090,0,1.9025582,,
tweet30091,1,1.9117281,wordplay,
tweet30092,0,1.9866452,,
tweet30093,0,1.8574016,analogy,professions
tweet30094,0,1.7565387,,
tweet30095,0,1.8494289,,
tweet30096,1,2.0290039,absurd,
tweet30097,0,2.0700436,,
tweet30098,1,2.0218718,wordplay,substance use
tweet30099,0,2.02708,parody,
tweet30100,0,1.9019506,reference,
tweet30101,1,1.8499846,analogy,
tweet30102,1,1.9478972,analogy,body shaming
tweet30103,0,2.1744018,,
tweet30104,1,1.91869,absurd,
tweet30105,0,2.0654342,,
tweet30106,0,1.9667683,analogy,
tweet30107,0,2.0943637,,
tweet30108,1,2.2385664,wordplay,
tweet30109,0,2.189165,irony,
tweet30110,1,2.2907143,wordplay,
tweet30111,1,2.2694702,misunderstanding,
tweet30112,1,1.9074855,embarrassment,family/relationships
tweet30113,1,1.969216,stereotype,
tweet30114,1,2.2618027,analogy,
tweet30115,1,1.9477909,exaggeration,
tweet30116,1,1.9936786,misunderstanding,
tweet30117,0,1.8798093,,
tweet30118,0,1.8515751,,
tweet30119,0,2.2237492,wordplay,
