id,is_humor,humor_rating,humor_mechanism,humor_target
tweet30001,1,1.8026686,,technology
tweet30002,1,2.1255014,absurd,
tweet30003,0,0.17107186,,
tweet30004,0,0.24117383,,
tweet30005,0,0.22907259,,professions
tweet30006,0,1.0187409,,professions
tweet30007,0,0.0,,
tweet30008,0,0.3736126,,
tweet30009,0,0.49989963,absurd,
tweet30010,0,0.76224965,,
tweet30011,0,0.3241825,,
tweet30012,0,0.75013185,,
tweet30013,0,0.3395311,,
tweet30014,0,0.0,,
tweet30015,1,1.2233232,,
tweet30016,0,0.42851043,,
tweet30017,1,0.92698646,wordplay,
tweet30018,0,0.5009608,,
tweet30019,1,1.6989462,,religion
tweet30020,0,0.9538981,wordplay,professions
tweet30021,0,1.2596548,,
tweet30022,1,1.3575824,,age
tweet30023,0,0.17550525,,
tweet30024,1,0.6574143,analogy,
tweet30025,0,0.8196666,,
tweet30026,1,1.9335539,unmasking,
tweet30027,0,0.0,,
tweet30028,1,2.149531,misunderstanding,professions
tweet30029,0,0.0,,
tweet30030,0,0.32405356,,
tweet30031,1,1.1581419,wordplay,
tweet30032,0,0.057233468,,
tweet30033,0,0.3132437,,
tweet30034,1,1.0430467,embarrassment,body shaming
tweet30035,0,0.63250554,,
tweet30036,0,0.20636384,,
tweet30037,0,1.0470289,,
tweet30038,0,0.18873164,,
tweet30039,1,2.106365,misunderstanding,sexual aggressors
tweet30040,0,0.43889403,,
tweet30041,0,0.18350057,,
tweet30042,0,0.0,,
tweet30043,1,2.4377508,wordplay,
tweet30044,0,0.39862698,,
tweet30045,0,0.05943668,,
tweet30046,0,0.4900733,,
tweet30047,1,2.7497463,wordplay,professions
tweet30048,1,0.9112985,wordplay,family/relationships
tweet30049,0,0.2695338,exaggeration,self-deprecating
tweet30050,0,1.5550125,parody,
tweet30051,0,1.2019364,,
tweet30052,0,0.7543228,,
tweet30053,1,0.73954743,,
tweet30054,1,2.259138,unmasking,
tweet30055,0,0.40666652,,
tweet30056,0,0.15383859,,
tweet30057,0,0.531993,,
