id,is_humor,humor_rating,humor_mechanism,humor_target
tweet30001,1,2.1768138,embarrassment,technology
tweet30002,1,2.2947829,absurd,
tweet30003,0,2.2093477,,
tweet30004,0,2.0174658,wordplay,professions
tweet30005,0,2.1352603,,professions
tweet30006,1,2.2343638,wordplay,
tweet30007,0,2.1868055,,
tweet30008,0,2.0175378,,
tweet30009,0,2.325764,absurd,
tweet30010,0,2.2948706,wordplay,
tweet30011,0,2.2091656,,
tweet30012,0,2.135235,parody,
tweet30013,0,2.2614663,exaggeration,
tweet30014,0,2.2083104,,
tweet30015,1,2.1470711,absurd,
tweet30016,0,2.1352692,,
tweet30017,1,2.268835,wordplay,
tweet30018,0,2.1418421,analogy,
tweet30019,1,2.2352087,misunderstanding,religion
tweet30020,0,2.0851605,wordplay,professions
tweet30021,1,2.0481904,irony,
tweet30022,1,2.2949624,unmasking,
tweet30023,0,2.1078305,,
tweet30024,1,2.2506323,absurd,professions
tweet30025,1,2.0758846,absurd,
tweet30026,1,2.2435365,unmasking,
tweet30027,0,2.1349034,,
tweet30028,1,2.2343051,misunderstanding,professions
tweet30029,0,2.1335354,,
tweet30030,0,2.0173967,,
tweet30031,1,2.2638226,wordplay,professions
tweet30032,0,2.2347913,,
tweet30033,0,2.3162487,,
tweet30034,1,2.1352842,misunderstanding,
tweet30035,1,2.2820404,,self-deprecating
tweet30036,0,2.1353106,,
tweet30037,0,2.295212,stereotype,
tweet30038,0,2.2472477,unmasking,
tweet30039,1,2.263123,unmasking,professions
tweet30040,0,2.135192,,
tweet30041,0,2.017343,,
tweet30042,0,2.1352484,,
tweet30043,1,2.3548746,misunderstanding,
tweet30044,0,2.1352055,,
tweet30045,0,2.0309677,absurd,
tweet30046,0,2.0181994,stereotype,women
tweet30047,1,2.294921,absurd,professions
tweet30048,1,2.1352656,absurd,women
tweet30049,0,2.1047683,exaggeration,
tweet30050,1,2.1351256,unmasking,
tweet30051,1,2.1353471,,
tweet30052,0,2.1352427,wordplay,
tweet30053,1,2.1352465,exaggeration,
tweet30054,1,2.268446,unmasking,
tweet30055,0,2.0695105,,
tweet30056,0,2.1372235,,
tweet30057,1,2.1346488,reference,
tweet30058,1,2.2948754,wordplay,women
tweet30059,1,2.3045998,misunderstanding,
tweet30060,0,2.031281,,
tweet30061,0,2.1176085,,
tweet30062,1,2.1352384,unmasking,family/relationships
tweet30063,1,2.17362,embarrassment,
tweet30064,1,2.1354003,embarrassment,body shaming
tweet30065,0,2.1572132,,
tweet30066,0,2.234661,,religion
tweet30067,0,2.0174415,parody,
tweet30068,0,2.1392186,,
tweet30069,0,2.1353667,unmasking,
tweet30070,0,2.0175312,,
tweet30071,0,2.3358736,wordplay,
tweet30072,1,2.23584,misunderstanding,self-deprecating
tweet30073,0,2.0386157,,
tweet30074,0,2.0181108,parody,self-deprecating
tweet30075,1,2.1870189,absurd,
tweet30076,0,2.1351163,absurd,
tweet30077,1,2.1352453,embarrassment,men
tweet30078,0,2.1352205,,
tweet30079,1,2.266922,absurd,
tweet30080,0,2.0284517,,
tweet30081,1,2.2956798,unmasking,self-deprecating
tweet30082,0,2.1713548,,
tweet30083,0,2.0173738,,
tweet30084,0,2.0755932,,men
tweet30085,0,2.0174632,embarrassment,
tweet30086,1,2.189936,,
tweet30087,0,2.1341193,,
tweet30088,0,2.1352541,,
tweet30089,1,2.2802908,absurd,self-deprecating
tweet30090,0,2.076256,,
tweet30091,1,2.135306,wordplay,
tweet30092,0,2.13533,reference,
tweet30093,0,2.0519943,stereotype,professions
tweet30094,0,2.0368345,stereotype,
tweet30095,0,2.1054459,irony,
tweet30096,1,2.2600825,wordplay,
tweet30097,0,2.2129786,,
tweet30098,1,2.2170348,wordplay,
tweet30099,0,2.2613683,,women
tweet30100,0,2.0737562,unmasking,
tweet30101,1,2.1275756,analogy,
tweet30102,1,2.135274,stereotype,body shaming
tweet30103,0,2.1352255,,
tweet30104,1,2.1353312,absurd,
tweet30105,0,2.1354005,wordplay,
tweet30106,0,2.2079532,reference,
tweet30107,0,2.2486477,,
tweet30108,1,2.335871,misunderstanding,age
tweet30109,0,2.335815,,
tweet30110,1,2.3358836,wordplay,
tweet30111,1,2.3368878,misunderstanding,
tweet30112,1,2.1352038,embarrassment,family/relationships
tweet30113,1,2.1050377,unmasking,women
tweet30114,1,2.3173826,exaggeration,
tweet30115,1,2.1352608,unmasking,
tweet30116,1,2.138941,misunderstanding,
tweet30117,0,2.13532,,
tweet30118,0,2.1351686,,
tweet30119,0,2.2504425,exaggeration,
tweet30120,0,2.3179083,insults,family/relationships
tweet30121,0,2.1352212,,
tweet30122,0,2.0175028,,
tweet30123,1,2.2063026,wordplay,
tweet30124,0,2.0174892,,
tweet30125,0,2.1352649,exaggeration,
tweet30126,0,2.1698895,,
tweet30127,1,2.2948525,misunderstanding,
tweet30128,1,2.1352687,parody,
tweet30129,0,2.072449,reference,self-deprecating
tweet30130,1,2.3201153,,
tweet30131,0,2.0733507,absurd,
tweet30132,0,2.1352327,,
tweet30133,0,2.0478208,,
tweet30134,0,2.0175207,,
tweet30135,1,2.208696,exaggeration,
tweet30136,1,2.3359818,misunderstanding,
tweet30137,0,2.2921343,,religion
tweet30138,0,2.1042435,reference,self-deprecating
tweet30139,1,2.3550167,irony,
tweet30140,0,2.3360908,irony,
tweet30141,0,2.0174994,reference,
tweet30142,0,2.1447163,reference,
tweet30143,0,2.1345272,wordplay,
tweet30144,1,2.226419,absurd,
tweet30145,0,2.1353097,,
tweet30146,0,2.1245408,,
tweet30147,0,2.01746,,
tweet30148,0,2.0174575,irony,professions
tweet30149,0,2.065963,wordplay,
tweet30150,1,2.1353116,reference,
tweet30151,1,2.2090635,wordplay,
tweet30152,0,2.135287,,
tweet30153,0,2.0601962,,
tweet30154,1,2.1787963,embarrassment,
tweet30155,1,2.0460668,wordplay,men
tweet30156,1,2.1842911,,
tweet30157,0,2.1353295,,
tweet30158,1,2.168346,absurd,
tweet30159,0,2.135289,analogy,
tweet30160,1,2.3231256,wordplay,professions
tweet30161,0,2.3141203,,
tweet30162,0,2.0737665,,
tweet30163,1,2.2865822,unmasking,women
tweet30164,0,2.029263,,
tweet30165,1,2.0479538,reference,
tweet30166,0,2.0175169,,
tweet30167,0,2.2616892,,
tweet30168,1,2.1709764,parody,self-deprecating
tweet30169,1,2.1353056,irony,
tweet30170,1,2.135151,irony,technology
tweet30171,0,2.1353104,,
tweet30172,1,2.3362813,misunderstanding,
tweet30173,0,2.3056033,irony,
tweet30174,0,2.2089689,stereotype,
tweet30175,1,2.2095692,wordplay,
tweet30176,1,2.13529,wordplay,
tweet30177,1,2.208512,absurd,health
tweet30178,1,2.1352892,wordplay,
tweet30179,1,2.2330902,absurd,family/relationships
tweet30180,0,2.1387076,,
tweet30181,0,2.0940359,reference,
tweet30182,1,2.3549616,irony,
tweet30183,1,2.338449,wordplay,substance use
tweet30184,0,2.2598467,,
